1,a +
2,berlimpah
3,berlimpah
4,kelimpahan
5,melimpah
6,dapat diakses
7,dapat diakses
8,tepuk tangan sorak
9,diakui
10,aklamasi
11,penghargaan
12,penghargaan
13,akomodatif
14,akomodatif
15,menyelesaikan
16,ulung
17,prestasi
18,prestasi
19,tepat
20,secara akurat
21,bisa dicapai
22,prestasi
23,prestasi
24,bisa dicapai
25,ketajaman
26,mudah beradaptasi
27,adaptif
28,memadai
29,disesuaikan
30,terpuji
31,mengagumkan
32,kekaguman
33,mengagumi
34,pengagum
35,mengagumi
36,kagum
37,menggemaskan
38,cinta
39,dipuja
40,pencinta
41,memuja
42,memuja
43,gesit
44,dengan tangkas
45,adulate
46,sanjungan
47,adulatory
48,maju
49,keuntungan
50,menguntungkan
51,menguntungkan
52,keuntungan
53,menantang
54,petualang
55,menganjurkan
56,dianjurkan
57,pendukung
58,keramahan
59,ramah
60,ramah
61,sok aksi
62,kasih sayang
63,sayang
64,afinitas
65,menegaskan
66,afirmasi
67,setuju
68,kemakmuran
69,makmur
70,mampu
71,terjangkau
72,terjangkau
73,afordable
74,tangkas
75,agilely
76,kelincahan
77,menyenangkan
78,setuju
79,secara menyenangkan
80,semuanya
81,menarik
82,memikat
83,altruistis
84,secara altruistik
85,menakjubkan
86,takjub
87,keheranan
88,mengherankan
89,menakjubkan
90,luar biasa
91,ambisius
92,ambisius
93,memperbaiki
94,menerima
95,kemudahan
96,keramahan
97,ramah
98,ramah
99,keramahan
100,ramah tamah
101,damai
102,persahabatan
103,cukup
104,cukup
105,menghibur
106,lucu
107,menggelikan
108,malaikat
109,seperti malaikat
110,pendewaan
111,menarik
112,menarik
113,bertepuk tangan
114,cukup besar
115,menghargai
116,dihargai
117,menghargai
118,menghargai
119,apresiatif
120,sesuai
121,persetujuan
122,menyetujui
123,bersemangat
124,dgn bernafsu
125,semangat
126,pandai berbicara
127,aspirasi
128,aspirasi
129,bercita-cita tinggi
130,jaminan
131,jaminan
132,memastikan
133,pasti
134,meyakinkan
135,mencengangkan
136,heran
137,mengherankan
138,mengherankan
139,heran
140,mengherankan
141,tercengang
142,mencengangkan
143,mencengangkan
144,cerdik
145,penuh perhatian
146,daya tarik
147,menarik
148,menarik
149,membiasakan
150,terdengar
151,terdengar
152,auspicious
153,asli
154,berwibawa
155,otonom
156,tersedia
157,menegaskan
158,keranjingan
159,dengan rajin
160,menghadiahkan
161,diberikan
162,penghargaan
163,perasaan kagum
164,terpesona
165,mengagumkan
166,awesomely
